Time,Bid,Ask,EUR,BTC,Trade,minPrice,maxPrice
14 Jan 14 20:02,610.60,612.60,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 20:12,612.61,612.68,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 20:22,609.23,612.12,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 20:32,609.07,609.23,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 20:42,609.23,610.59,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 20:52,608.32,609.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 21:02,607.72,608.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 21:12,609.00,610.75,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 21:22,609.23,612.28,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 21:32,612.28,612.50,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 21:42,612.29,612.35,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 21:52,609.01,610.75,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 22:27,609.24,612.25,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 22:34,609.26,612.00,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 22:44,610.00,611.99,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 22:55,610.00,611.99,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 23:05,610.00,611.98,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 23:15,610.00,611.97,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 23:25,611.97,611.97,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 23:35,609.23,611.97,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 23:45,609.23,611.97,42.63,0.142299,0.00,575.23,661.52
14 Jan 14 23:55,609.23,611.97,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 00:05,609.23,611.97,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 00:15,609.00,610.73,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 00:25,606.18,608.99,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 00:35,605.21,608.98,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 00:45,609.10,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 00:55,606.18,609.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 01:05,606.18,609.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 01:15,606.18,609.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 01:25,606.18,609.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 01:35,606.18,609.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 01:46,606.18,609.10,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 01:56,607.69,610.00,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 02:06,609.20,611.66,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 02:16,609.20,611.66,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 02:26,609.20,611.66,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 02:36,606.17,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 02:46,606.22,609.20,42.63,0.142299,0.00,575.23,661.52
15 Jan 14 02:56,606.31,609.20,42.63,0.142299,0.00,575.23,661.52
